('주', 'Noun') ('를', 'Josa') ('찬양', 'Noun') ('할', 'Verb') ('찌라', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('날', 'Noun') ('닮은', 'Verb') ('너', 'Noun') ('를', 'Josa') ('꼭', 'Noun') ('다시', 'Noun') ('안아줄게', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('봄', 'Noun') ('이', 'Josa') ('오면', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('사랑', 'Noun') ('지나고', 'Verb') ('나면', 'Verb') ('아무', 'Modifier') ('것', 'Noun') ('아닌', 'Adjective') ('것', 'Noun') ('을', 'Josa') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('文', 'Foreign') ('兒', 'Foreign') ('潾', 'Foreign') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('긴', 'Verb') ('벽', 'Noun') ('에', 'Josa') ('갇힌', 'Verb') ('나', 'Noun') ('의', 'Josa') ('길', 'Noun') ('을', 'Josa') ('찾아야만', 'Verb') ('하겠지', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('안녕', 'Noun') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('어째서', 'Noun') ('나를', 'Verb') ('죽일', 'Verb') ('수', 'Noun') ('없나', 'Adjective') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('하루', 'Noun') ('만', 'Josa') ('또', 'Noun') ('하루', 'Noun') ('만', 'Josa') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('강', 'Noun') ('은', 'Josa') ('흘러', 'Verb') ('흘러', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('내', 'Noun') ('안', 'Noun') ('을', 'Josa') ('떠도', 'Verb') ('네', 'Determiner') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('안녕', 'Noun') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('랄라라', 'Noun') ('라라', 'Noun') ('라라라라', 'Noun') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('상처', 'Noun') ('는', 'Josa') ('아물어', 'Verb') ('사라진다', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('하얀', 'Adjective') ('작은', 'Adjective') ('꽃', 'Noun') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('단', 'Modifier') ('꿈', 'Noun') ('에', 'Josa') ('마음', 'Noun') ('은', 'Josa') ('침식', 'Noun') ('되어', 'Verb') ('깨지', 'Verb') ('않을', 'Verb') ('긴', 'Verb') ('잠', 'Noun') ('에', 'Josa') ('든다', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('타락', 'Noun') ('의', 'Josa') ('나락', 'Noun') ('그', 'Noun') ('황홀', 'Noun') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('인생', 'Noun') ('은', 'Josa') ('아름다워', 'Adjective') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('의문', 'Noun') ('에', 'Josa') ('답', 'Noun') ('해주고', 'Verb') ('파', 'Noun') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('어른', 'Noun') ('이', 'Josa') ('되는', 'Verb') ('것', 'Noun') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('물든다', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('어째서', 'Noun') ('나를', 'Verb') ('죽일', 'Verb') ('수', 'Noun') ('없나', 'Adjective') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('새로운', 'Adjective') ('외로움', 'Noun') ('의', 'Josa') ('품', 'Noun') ('에', 'Josa') ('안겨서', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('이상한', 'Adjective') ('여행', 'Noun') ('길', 'Noun') ('에', 'Josa') ('올랐지', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('날', 'Noun') ('내버려', 'Verb') ('둬요', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('눈물', 'Noun') ('을', 'Josa') ('안고', 'Noun') ('흘러가네요', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('그대', 'Noun') ('와', 'Josa') ('나', 'Noun') ('처음', 'Noun') ('부터', 'Josa') ('그', 'Determiner') ('래야', 'Noun') ('했어', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('사랑', 'Noun') ('한', 'Josa') ('적', 'Noun') ('없네', 'Adjective') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('세상', 'Noun') ('그', 'Noun') ('누구', 'Noun') ('에게도', 'Josa') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('그', 'Noun') ('노래', 'Noun') ('들려주오', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('은지', 'Noun') ('야', 'Josa') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('文', 'Foreign') ('兒', 'Foreign') ('潾', 'Foreign') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('세상', 'Noun') ('의', 'Josa') ('끝', 'Noun') ('에', 'Josa') ('우리', 'Noun') ('둘', 'Noun') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('Please', 'Alpha') ('don', 'Alpha') ('t', 'Alpha') ('leave', 'Alpha') ('me', 'Alpha') ('alone', 'Alpha') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('웃으며', 'Verb') ('나', 'Noun') ('가려', 'Verb') ('해', 'Noun') ('파국', 'Noun') ('에', 'Josa') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('왜', 'Noun') ('나를', 'Verb') ('사랑', 'Noun') ('하지', 'Verb') ('않아', 'Verb') ('왜', 'Noun') ('나를', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('나나', 'Noun') ('나라', 'Suffix') ('라', 'Josa') ('나나라', 'Noun') ('라', 'Josa') ('나나', 'Noun') ('나나', 'Noun') ('나', 'Josa') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('아', 'Exclamation') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('But', 'Alpha') ('don', 'Alpha') ('t', 'Alpha') ('stop', 'Alpha') ('yet', 'Alpha') ('nobody', 'Alpha') ('knows', 'Alpha') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('내', 'Noun') ('품', 'Noun') ('에', 'Josa') ('안기어', 'Verb') ('단', 'Modifier') ('꿈', 'Noun') ('을', 'Josa') ('꾸고', 'Verb') ('있네', 'Adjective') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('文', 'Foreign') ('兒', 'Foreign') ('潾', 'Foreign') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('文', 'Foreign') ('兒', 'Foreign') ('潾', 'Foreign') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('라라', 'Noun') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
