"name","desc","type1","type2","egg_group"
"꼬링크","위험을 느끼면 전신의 털이 빛난다. 그로 인해 상대가 앞을 보지 못하는 동안 도망친다.근육의 움직임으로 전기를 만드는 구조를 앞 발에 가지고 있다. 위급해지면 전신이 빛난다.몸을 움직일 때마다 근육이 늘어났다 줄어들었다 하여 전기가 발생한다.궁지에 몰리면 몸이 빛난다.근육이 늘었다 줄었다 하면서 전기가 발생한다. 위급해지면 털이 눈부시게 빛난다.몸을 움직일 때마다 근육이 늘어났다 줄어들었다 하여 전기가 발생한다.궁지에 몰리면 몸이 빛난다.위험을 느끼면 전신의 털이 빛난다. 그로 인해 상대가 앞을 보지 못하는 동안 도망친다.몸을 움직일 때마다 근육이 늘었다 줄어들었다 하여 전기가 발생한다. 궁지에 몰리면 몸이 빛난다.위험을 느끼면 전신의 털이 빛난다. 그로 인해 상대가 앞을 보지 못하는 동안 도망친다.도감에 없음등장하지 않음근육을 수축해서 전기를 만든다. 몸을 떠는 것은 격렬하게 전기를 발생시키고 있다는 증거다.털이 전기로 빛난다. 밝게 빛나는 꼬리 끝을 흔들어 동료에게 신호를 보낸다.","전기","","육상"
"럭시오","발톱에서는 한 방에 적을 기절시킬 정도로 강한 전류가 흐른다.여러 마리가 그룹을 이루어 산다.앞발로 동료의 몸에 접촉한다. 발톱에서 흐르는 전기의 리듬으로 자신의 기분을 전달한다.날카로운 발톱의 끝에는 강한 전기가 흐르고 있어서 살짝 스치는 것만으로 상대를 기절시킨다.동료와 꼬리를 이으면 더욱 강력한 전기를 발톱에서 낼 수 있다.날카로운 발톱의 끝에는 강한 전기가 흐르고 있어서 살짝 스치는 것만으로 상대를 기절시킨다.발톱에서는 한 방에 적을 기절시킬정도로 강한 전류가 흐른다. 여러 마리가 그룹을 이루어 산다.날카로운 발톱의 끝에는 강한 전기가 흐르고 있어서 살짝 스치는 것만으로 상대를 기절시킨다.발톱에서는 한 방에 적을 기절시킬정도로 강한 전류가 흐른다. 여러 마리가 그룹을 이루어 산다.날카로운 발톱의 끝에는 강한 전기가 흐르고 있어서 살짝 스치는 것만으로 상대를 기절시킨다.도감에 없음등장하지 않음꼬리를 이어서 동료로부터 전기 에너지를 나눠 받으면 보다 강한 전격을 내보낼 수 있다.적을 만나면 100만 볼트의 위력을 가진 발톱을 드러내어 싸움에 대비한다.","전기","","육상"
"렌트라","모든 것을 투시해 버리는 눈을 가지고 있다. 보이지 않는 곳에 숨은 먹이를 찾아서 잡는다.눈동자가 금색으로 빛날 때 벽의 저편에 숨어 있는 먹이를 찾아낼 수 있다.벽 저편이라도 볼 수 있는 힘으로 도망친 먹이를 쫓는 것 이외에도미아가 된 아이를 찾기도 한다.렌트라의 투시능력은 위험한 것을 발견했을 때 매우 도움이 된다.벽 저편이라도 볼 수 있는 힘으로 도망친 먹이를 쫓는 것 이외에도미아가 된 아이를 찾기도 한다.눈동자가 금색으로 빛날 때 벽의 저편에 숨어 있는 먹이를 찾아낼 수 있다.렌트라의 투시능력은 위험한 것을 발견했을 때 매우 도움이 된다.눈동자가 금색으로 빛날 때 벽의 저편에 숨어 있는 먹이를 찾아낼 수 있다.렌트라의 투시 능력은 위험한 것을 발견할 때 매우 도움이 된다.도감에 없음등장하지 않음투시 능력을 가진 포켓몬. 두꺼운 벽 반대편에 숨어있는 먹이를 순식간에 찾아낸다.투시는 전기 에너지를 매우 많이 소모하기 때문에 오랜 기간 수면을 취해서 에너지를 비축한다.","전기","","육상"
"꼬몽울","겨울 동안 봉오리를 닫고 추위를 견딘다. 봄이 되면 봉오리를 펴서 꽃가루를 날린다.맑은 연못 주위에 서식한다. 세찬 재채기와 콧물을 일으키는 꽃가루를 흩뿌린다.온도 변화에 민감하여 따뜻한 햇볕을 느끼면 반드시 꽃봉오리를 피운다고 한다.따뜻한 햇볕을 쬐면 봉오리를 펴서 꽃가루를 날린다. 아름다운 물 가까이에 거처가 있다.온도 변화에 민감하여 따뜻한 햇볕을 느끼면 반드시 꽃봉오리를 피운다고 한다.주위 온도 변화에 민감하다. 따뜻해지면 꽃봉오리가 피어 독을 머금은 꽃가루를 흩뿌린다.따뜻한 햇볕을 쬐면 봉오리를 펴서 꽃가루를 날린다. 깨끗한 물 가까이에 거처가 있다.겨울 동안 봉오리를 닫고 추위를 견딘다. 봄이 되면 봉오리를 펴서 꽃가루를 날린다따뜻한 햇볕을 쬐면 봉오리를 펴서 꽃가루를 날린다. 깨끗한 물 가까이에 거처가 있다.겨울 동안 봉오리를 닫고 추위를 견딘다. 봄이 되면 봉오리를 펴서 꽃가루를 날린다.자료 없음기온 변화에 민감하다. 봉오리가 피기 시작하면 곧 봄이 온다.","풀","독","알미발견"
"로즈레이드","달콤한 향기로 유인하여 양팔의 꽃다발 속에 있는 가시의 채찍으로 꼼짝 못하게 한다.댄서 같은 재빠른 몸놀림으로 독가시가 빽빽이 늘어선 채찍을 조종하여 공격한다.양손의 독 성분은 각각 다른 종류지만 어느 쪽에 찔려도 치명적이다.달콤한 향기로 먹이를 유인해 독으로 쓰러뜨린다. 독이 강할수록 달콤한 향기도 강해진다.양손의 독 성분은 각각 다른 종류지만 어느 쪽에 찔려도 치명적이다.달콤한 향기로 먹이를 유인해 양팔의 독 채찍을 사용하여 찌르거나 조여서 꼼짝 못하게 한다.댄서 같은 재빠른 몸놀림으로 독가시가 빽빽이 늘어선 채찍을 조종하여 공격한다.달콤한 향기로 먹이를 유인해 양팔의 독 채찍을 사용하여 찌르거나 조여서 꼼짝 못하게 한다.댄서 같은 재빠른 몸놀림으로 독가시가 빽빽이 늘어선 채찍을 조종하여 공격한다.자료 없음향긋한 꽃향기로 상대를 혼란스럽게 한 다음 가시 채찍으로 세차게 때린다.오른손의 독은 즉효성이고 왼손의 독은 지효성을 띠고 있다. 양쪽 모두 생명에 지장을 준다.","풀","독","요정,식물"
"두개도스","약 1억 년 전에 고대의 밀림에서 살고 있었다. 두개골이 철처럼 단단하다.철구 같은 화석에서 부활한 고대 포켓몬이다. 박치기로 먹이를 꼼짝 못하게 한다.대략 1억 년 전의 포켓몬이다. 정글에서 태어나 자라 방해되는 수목은 박치기로 꺾었다.두개도스끼리 머리를 부딪히는 것으로 튼튼한 머리가 더욱 단련된다.대략 1억 년 전의 포켓몬이다. 정글에서 태어나 자라 방해되는 수목은 박치기로 꺾었다.대략 1억 년 전의 포켓몬이다. 정글에서 태어나 자라 방해되는 수목을 박치기로 꺾었다.철구 같은 화석에서 부활한 고대 포켓몬이다. 박치기로 먹이를 꼼짝 못하게 한다.대략 1억 년 전의 포켓몬이다. 정글에서 태어나 자라 방해되는 수목은 박치기로 꺾었다.철구 같은 화석에서 부활한 고대 포켓몬이다. 박치기로 먹이를 꼼짝 못하게 한다.대략 1억 년 전의 포켓몬이다. 정글에서 태어나고 자라며 방해되는 수목은 박치기로 꺾었다.1억 년 정도 전의 밀림에서 살았었다. 특기인 박치기로 프테라에게 저항했었다.두개도스의 화석이 발견되는 지층에는 부러진 나무의 화석도 같이 발굴된다.태곳적 포켓몬. 딱딱하고 튼튼한 두개골을 가졌지만 머리는 정말 나빴다.단단한 두개골이 특징이다. 박치기로 나무를 부러뜨려 잘 익은 나무열매를 먹었다.자료 없음","바위","","괴수"
"램펄드","강력한 박치기 공격은 아무리 튼튼한 것이라도 일격에 분쇄하는 위력을 가지고 있다.철처럼 단단한 두개골이다. 정글의 나무를 넘어뜨려서 먹이를 잡는 난동꾼이다.머리로 격렬하게 치고받아도 두개골은 두께가 30cm나 되기에 기절하거나 하지 않는다.어떤 충격에도 견딜 수 있는 두꺼운 두개골에 눌려 뇌가 자라지 않았다.머리로 격렬하게 치고받아도 두개골은 두께가 30cm나 되기에 기절하거나 하지 않는다.어떤 충격에도 견딜 수 있는 두꺼운 두개골에 눌려 뇌가 자라지 않았다.철처럼 단단한 두개골이다. 정글의 나무를 넘어뜨려서 먹이를 잡는 난동꾼이다.어떤 충격에도 견딜 수 있는 두꺼운 두개골에 눌려 뇌가 자라지 않았다.철처럼 단단한 두개골이다. 정글의 나무들을 넘어뜨려서 먹이를 잡는 난동꾼이다.박치기를 반복해서 두개골은 단단하고 두꺼워졌지만 뇌는 두개도스보다 작아졌다.복원되어 진화한 램펄드가 도망쳐 박치기로 고층 빌딩을 파괴했다는 기록이 있다.먼 옛날 사람은 화석을 발굴하여 강철보다 딱딱한 두개골로 투구를 만들었다.박치기가 특기인 고대 포켓몬이다. 뇌가 정말 작기 때문에 멍청해서 멸종했다는 설도 있다.자료 없음","바위","","괴수"
"방패톱스","약 1억 년 전에 밀림에서 살고 있었던 포켓몬이다. 얼굴의 피부가 매우 단단하다.큰 나무의 줄기에 비벼서 단단한 얼굴을 닦는 습성이 있다. 뒤로부터의 공격에 약하다.뛰어난 방어력을 지녔다. 그 덕분에 특별히 다투는 일도 없이 풀이나 나무열매를 먹으며 지낸다.1억 년 전에 지층에서 발굴된 화석에서 태어났다. 매우 튼튼한 얼굴을 가졌다.뛰어난 방어력을 지녔다. 그 덕분에 특별히 다투는 일도 없이 풀이나 나무열매를 먹으며 지낸다.큰 나무의 줄기에 비벼서 단단한 얼굴을 닦는 습성이 있다. 뒤로부터의 공격에 약하다.1억 년 전의 지층에서 발굴된 화석에서 태어났다. 매우 튼튼한 얼굴을 가졌다.큰 나무의 줄기에 비벼서 단단한 얼굴을 닦는 습성이 있다. 뒤로부터의 공격에 약하다.1억 년 전의 지층에서 발굴된 화석에서 태어났다. 매우 튼튼한 얼굴을 가졌다.많은 화석이 발견되었지만 얼굴 부분에 상처가 있거나 이가 빠져 있는 것은 거의 없다.튼튼한 얼굴 덕분에 적은 적었을 것으로 여겨진다. 태고의 정글에 살았다.온순한 초식 포켓몬. 튼튼한 얼굴 피부로 지면을 파고들어 나무 뿌리도 먹었다.태고의 지층에서 화석이 발견되었지만 얼굴 이외의 부분이 발견된 적은 없다.자료 없음","바위","강철","괴수"
"바리톱스","정면에서의 공격은 전부 물리친다. 풀이나 나무열매를 먹는 얌전한 성격이다.상대에게 습격당했을 때는 얼굴을 방패로 방벽을 만들어 무리의 새끼들을 지킨다.옆에 한 줄로 세우면 어떤 포켓몬이라도 돌파하지 못한다. 그렇게 하여 아기를 지켜냈다.무리를 이루어 생활하는 바리톱스는 적에게 습격당하면옆으로 늘어서서 딱딱한 얼굴로 공격을 막는다.옆에 한 줄로 세우면 어떤 포켓몬이라도 돌파하지 못한다. 그렇게 하여 아기를 지켜냈다.일렬횡대로 죽 늘어서면 어떤 포켓몬이라도 돌파하지 못한다. 이렇게 하여 아기를 지켜냈다.정면에서의 공격은 전부 튕겨낸다. 풀이나 나무열매를 먹는 얌전한 성격이다.일렬횡대로 죽 늘어서면 어떤 포켓몬이라도 돌파하지 못한다. 이렇게 하여 아기를 지켜냈다.정면에서의 공격은 전부 튕겨낸다. 풀이나 나무열매를 먹는 얌전한 성격이다.정면에서라면 어떤 공격이든 가드할 수 있지만 뒤를 뺏기면 방법이 없다.램펄드와 비슷한 장소에 있었다. 2마리가 싸워 같이 쓰러져 있는 화석이 발견될 때도 있다.얼굴의 뼈가 크고 딱딱해서 복원에 성공할 때까지 등뼈라고 잘못 알려져 있었다.약 1억 년 전의 포켓몬이다. 무섭게 튼튼한 얼굴은 강철 이상의 경도를 가졌다.자료 없음","바위","강철","괴수"
"도롱충이","차가운 초겨울바람을 막으려고 작은 가지나 낙엽을 재료로 도롱이를 만들어 몸을 감싼다.싸움으로 도롱이가 부서져 버리면 가까이 있는 재료로 도롱이를 바로 만들어 고친다.몸을 둘러쌀 재료가 없는 장소에서 태어나도 도롱충이는 어느새 도롱이를 걸치고 있다.도롱이로 몸을 감싸고 추운 계절을 견딘다. 따뜻한 계절에는 도롱이가 얇다.몸을 둘러쌀 재료가 없는 장소에서 태어나도 도롱충이는 어느새 도롱이를 걸치고 있다.차가운 초겨울 바람을 막으려고 작은 가지나 낙엽을 재료로 도롱이를 만들어 몸을 감싼다.싸움으로 도롱이가 부서져 버리면 가까이 있는 재료로 도롱이를 바로 만들어 고친다.차가운 초겨울 바람을 막으려고 작은 가지나 낙엽을 재료로 도롱이를 만들어 몸을 감싼다.자료 없음","벌레","","벌레"
"도롱마담","도롱충이로부터 진화할 때 도롱이가 몸의 일부가 되었다. 일생 도롱이를 벗는 일은 없다.진화한 장소에 따라 모습이 바뀐다. 가까이 있는 재료가 몸의 일부가 된다.진화할 때 주변에 있는 재료를 몸에 둘러싸기 위해 많은 바리에이션이 있다.기온이 낮은 날 도롱마담으로 진화하면 도롱이의 두께가 여느 때보다 두껍다고 전해진다.진화할 때 주변에 있는 재료를 몸에 둘러싸기 위해 많은 바리에이션이 있다.진화한 장소에 따라 모습이 바뀐다. 가까이 있는 재료가 몸의 일부가 된다.도롱충이로부터 진화할 때 도롱이가 몸의 일부가 되었다. 일생 도롱이를 벗는 일은 없다.진화한 장소에 따라 모습이 바뀐다. 가까이 있는 재료가 몸의 일부가 된다.도롱충이로부터 진화할 때 도롱이가 몸의 일부가 되었다. 일생 도롱이를 벗는 일은 없다.자료 없음","벌레","풀","벌레"
"나메일","꽃의 꿀을 매우 좋아한다. 세꿀버리가 모아둔 꿀을 가로채어 먹어 버린다.정해진 거처를 갖지 않는다. 좋아하는 꽃의 꿀을 찾아서 산과 들을 넘어 날아다닌다.꽃의 꿀을 제일 좋아하지만 자신은 모으지 않고 세꿀버리로부터 가로챌 생각만 한다.한밤중에 활발하게 날아다니며 잠든 세꿀버리의 둥지에서 꿀을 훔쳐 달아난다.꽃의 꿀을 제일 좋아하지만 자신은 모으지 않고 세꿀버리로부터 가로챌 생각만 한다.꽃의 꿀을 매우 좋아한다. 세꿀버리가 모아둔 꿀을 가로채어 먹어 버린다.한밤중에 활발하게 날아다니며 잠든 세꿀버리의 둥지에서 꿀을 훔쳐 달아난다.꽃의 꿀을 매우 좋아한다. 세꿀버리가 모아둔 꿀을 가로채어 먹어 버린다.한밤중에 활발하게 날아다니며 잠든 세꿀버리의 둥지에서 꿀을 훔쳐 달아난다.자료 없음","벌레","비행","벌레"
